Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101334.538	101334.538	101334.538	101334.538	0	0	0	6385.63	0	0	3
2	3	0	0.05	101312.39	101323.464	101312.39	101334.538	11.0741062	0	0	5594.91	0	0	3
3	3	0	0.075	101331.745	101326.224	101312.39	101334.538	11.0741062	0	0	4840.09	0	0	3
4	3	0	0.1	101326.726	101326.35	101312.39	101334.538	11.0741062	0	0	2029.03	0	0	3
5	3	0	0.125	101325.07	101326.094	101312.39	101334.538	11.0741062	0	0	774.584	0	0	3
6	4	0	0.15	101326.415	101326.147	101312.39	101334.538	11.0741062	0	0	617.823	0	0	3
7	4	0	0.175	101326.128	101326.145	101312.39	101334.538	11.0741062	0	0	490.467	0	0	3
8	4	0	0.2	101326.911	101326.24	101312.39	101334.538	11.0741062	0	0	435.836	0	0	3
9	4	0	0.225	101326.497	101326.269	101312.39	101334.538	11.0741062	0	0	330.25	0	0	3
10	5	0	0.25	101327.874	101326.429	101312.39	101334.538	11.0741062	0	0	287.728	0	0	3
11	5	0	0.275	101329.256	101326.686	101312.39	101334.538	11.0741062	0	0	251.331	0	0	3
12	5	0	0.3	101336.698	101327.521	101312.39	101336.698	11.0741062	0	0	224.258	0	0	3
13	5	0	0.325	101344.778	101328.848	101312.39	101344.778	11.0741062	0	0	183.78	0	0	3
14	5	0	0.35	101360.807	101331.131	101312.39	101360.807	11.0741062	0	0	214.838	0	0	3
15	6	0	0.375	101373.237	101333.938	101312.39	101373.237	11.0741062	0	0	262.993	0	0	3
16	6	0	0.4	101392.489	101337.597	101312.39	101392.489	14.1337493	0	0	347.158	0	0	3
17	6	0	0.425	101407.666	101341.719	101312.39	101407.666	18.2554387	0	0	515.85	0	0	3
18	6	0	0.45	101422.133	101346.187	101312.39	101422.133	22.7228806	0	0	812.801	0	0	3
19	7	0	0.475	101427.734	101350.479	101312.39	101427.734	27.0148381	0	0	1096.41	0	0	3
20	7	0	0.5	101427.418	101354.326	101312.39	101427.734	30.8618117	0	0	1481.32	0	0	3
21	7	0	0.525	101414.924	101358.345	101312.39	101427.734	34.8811462	0	0	1729.48	0	0	3
22	7	0	0.55	101399.65	101362.708	101325.07	101427.734	36.6141876	0	0	2097.62	0	0	3
23	8	0	0.575	101385.409	101365.391	101325.07	101427.734	39.2973631	0	0	2501.85	0	0	3
24	8	0	0.6	101374.359	101367.773	101325.07	101427.734	41.6790056	0	0	2859.64	0	0	3
25	8	0	0.625	101366.594	101369.849	101326.128	101427.734	43.7043358	0	0	3200.96	0	0	3
26	8	0	0.65	101360.709	101371.564	101326.128	101427.734	45.4190454	0	0	3349.12	0	0	3
27	9	0	0.675	101357.188	101373.117	101326.497	101427.734	46.876202	0	0	3516.57	0	0	3
28	9	0	0.7	101353.685	101374.455	101326.497	101427.734	48.1863979	0	0	3580.34	0	0	3
29	9	0	0.725	101351.684	101375.715	101327.874	101427.734	49.2852311	0	0	3688.1	0	0	3
30	9	0	0.75	101348.37	101376.739	101329.256	101427.734	50.0530833	0	0	3675.14	0	0	3
31	10	0	0.775	101348.352	101377.694	101336.698	101427.734	50.1736003	0	0	3712.67	0	0	3
32	10	0	0.8	101347.153	101378.217	101344.778	101427.734	49.3688173	0	0	3663.6	0	0	3
33	10	0	0.825	101347.03	101378.33	101347.03	101427.734	47.1986456	0	0	3655.1	0	0	3
34	11	0	0.85	101346.063	101377.592	101346.063	101427.734	44.3915652	0	0	3588.39	0	0	3
35	11	0	0.875	101346.507	101376.256	101346.063	101427.734	40.7321479	0	0	3565.96	0	0	3
36	11	0	0.9	101345.823	101373.923	101345.823	101427.734	36.6104584	0	0	3559.89	0	0	3
37	11	0	0.925	101345.925	101370.836	101345.823	101427.734	32.1430165	0	0	3583.04	0	0	3
38	12	0	0.95	101344.895	101366.974	101344.895	101427.734	27.8510591	0	0	3565.64	0	0	3
39	12	0	0.975	101345.044	101362.839	101344.895	101427.418	24.0040855	0	0	3582.04	0	0	3
40	12	0	1	101345.234	101358.73	101344.895	101414.924	19.9847509	15.3996091	77	3577.31	0	0	3
41	12	0	1.025	101345.594	101355.263	101344.895	101399.65	23.0662105	15.3996091	66.7	3581.9	0	0	3
42	13	0	1.05	101345.454	101352.554	101344.895	101385.409	25.7759926	15.3996091	59.7	3567.97	0	0	3
43	13	0	1.075	101345.306	101350.548	101344.895	101374.359	27.7811651	15.3996091	55.4	3555.76	0	0	3
44	13	0	1.1	101345.477	101350.307	101344.895	101374.359	28.0226468	15.3996091	54.9	3568.45	0	0	3
45	13	0	1.125	101345.471	101348.931	101344.895	101366.594	21.6995351	15.3996091	70.9	3602.87	0	0	3
46	14	0	1.15	101345.327	101347.919	101344.895	101360.709	15.8146089	15.3996091	97.3	3619.18	0	0	3
47	14	0	1.175	101344.729	101347.158	101344.729	101357.188	12.4594301	15.3996091	100	3647.52	0	0	3
48	14	0	1.2	101344.515	101346.554	101344.515	101353.685	9.16981908	15.3996091	100	3646.56	0	0	3
